P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
KOL1_062      & KTL2_095      375.057418202  Highly sign.
KTE1_096      & KTL2_095      >331.542292202  Highly sign.
KTE2_096      & KTL2_095      >400.031526202  Highly sign.
KTE4_066      & KTL2_095      >309.139219202  <0.000002
KTE5_096      & KTL2_095      >316.696380202  <0.000000
KTE6_096      & KTL2_095      >351.223317202  Highly sign.
KTE7_096      & KTL2_095      >352.002884202  Highly sign.
KTE8_096      & KTL2_095      >394.450734202  Highly sign.
KTE9_064      & KTL2_095      >334.878898202  Highly sign.
KTL1_095      & KTL2_095      169.918577202  0.951118
FBM1_095      & RBL1_095      315.317777198  Highly sign.
FBM2_095      & RBL1_095      311.685082198  0.000000
FBM3_095      & RBL1_095      344.157372196  Highly sign.
FBM4_095      & RBL1_095      >418.943727196  Highly sign.
FTM1_095      & RBL1_095      298.580245202  0.000012
FTM2_095      & RBL1_095      259.937261200  0.002782
FTM3_093      & RBL1_095      257.059128202  0.005301
FTM4_078      & RBL1_095      308.265671200  0.000001
FTM5_095      & RBL1_095      265.923644198  0.000913
FTM6_095      & RBL1_095      454.902600200  Highly sign.
KBL1_096      & RBL1_095      >503.423638202  Highly sign.
KBL2_097      & RBL1_095      >559.220231202  Highly sign.
KBL4_096      & RBL1_095      >555.173952200  Highly sign.
KBL5_096      & RBL1_095      >541.815074202  Highly sign.
KOL1_062      & RBL1_095      >628.090588202  Highly sign.
KTE1_096      & RBL1_095      >557.312356202  Highly sign.
KTE2_096      & RBL1_095      >498.669017202  Highly sign.
KTE4_066      & RBL1_095      >539.046419202  Highly sign.
KTE5_096      & RBL1_095      >554.717218202  Highly sign.
KTE6_096      & RBL1_095      >566.201794202  Highly sign.
KTE7_096      & RBL1_095      >578.437861202  Highly sign.
KTE8_096      & RBL1_095      >561.717501202  Highly sign.
KTE9_064      & RBL1_095      >465.564301202  Highly sign.
KTL1_095      & RBL1_095      >481.130663202  Highly sign.
KTL2_095      & RBL1_095      >489.941403202  Highly sign.
FBM1_095      & RBL2_095      >289.304321200  <0.000037
FBM2_095      & RBL2_095      >322.150809198  Highly sign.
FBM3_095      & RBL2_095      >369.702759198  Highly sign.
FBM4_095      & RBL2_095      >496.517675198  Highly sign.
FTM1_095      & RBL2_095      300.085623202  0.000009
