P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
KBL5_096      & KTE9_064      >372.933555204  Highly sign.
KOL1_062      & KTE9_064      >364.880014202  Highly sign.
KTE1_096      & KTE9_064      221.078375204  0.196011
KTE2_096      & KTE9_064      230.133632204  0.101121
KTE4_066      & KTE9_064      177.441073204  0.910436
KTE5_096      & KTE9_064      193.140127202  0.660649
KTE6_096      & KTE9_064      226.849541204  0.130414
KTE7_096      & KTE9_064      234.849073204  0.068223
KTE8_096      & KTE9_064      226.230122204  0.136574
FBM1_095      & KTL1_095      >517.832512204  Highly sign.
FBM2_095      & KTL1_095      >538.616102204  Highly sign.
FBM3_095      & KTL1_095      >618.471548204  Highly sign.
FBM4_095      & KTL1_095      >621.495057204  Highly sign.
FOM1_095      & KTL1_095      >487.062785204  Highly sign.
FTM2_095      & KTL1_095      >469.114019204  Highly sign.
FTM3_093      & KTL1_095      >532.798459204  Highly sign.
FTM4_078      & KTL1_095      >536.854875204  Highly sign.
FTM5_095      & KTL1_095      >522.972615204  Highly sign.
FTM6_095      & KTL1_095      >519.943010204  Highly sign.
KBL1_096      & KTL1_095      186.834261204  0.800062
KBL2_097      & KTL1_095      191.438035204  0.726455
KBL4_096      & KTL1_095      198.443552204  0.596623
KBL5_096      & KTL1_095      200.118888204  0.563705
KOL1_062      & KTL1_095      338.944466204  Highly sign.
KTE1_096      & KTL1_095      >306.143687204  <0.000005
KTE2_096      & KTL1_095      >407.852854204  Highly sign.
KTE4_066      & KTL1_095      >279.210578204  <0.000370
KTE5_096      & KTL1_095      >346.985937204  Highly sign.
KTE6_096      & KTL1_095      >371.189985204  Highly sign.
KTE7_096      & KTL1_095      >353.129676204  Highly sign.
KTE8_096      & KTL1_095      >342.262999204  Highly sign.
KTE9_064      & KTL1_095      >311.743007204  <0.000002
FBM1_095      & KTL2_095      >589.765080204  Highly sign.
FBM2_095      & KTL2_095      >488.258449204  Highly sign.
FBM3_095      & KTL2_095      >617.465853204  Highly sign.
FBM4_095      & KTL2_095      >579.885191204  Highly sign.
FOM1_095      & KTL2_095      >494.954386204  Highly sign.
FTM2_095      & KTL2_095      >464.655277204  Highly sign.
FTM3_093      & KTL2_095      >508.374796204  Highly sign.
FTM4_078      & KTL2_095      >534.303249204  Highly sign.
FTM5_095      & KTL2_095      >491.474413204  Highly sign.
FTM6_095      & KTL2_095      >570.242755204  Highly sign.
KBL1_096      & KTL2_095      182.537094204  0.857505
KBL2_097      & KTL2_095      169.302341204  0.963479
KBL4_096      & KTL2_095      191.461234204  0.726056
KBL5_096      & KTL2_095      153.215218204  0.996781
KOL1_062      & KTL2_095      390.675733204  Highly sign.
KTE1_096      & KTL2_095      >332.436436204  Highly sign.
KTE2_096      & KTL2_095      >404.724976204  Highly sign.
KTE4_066      & KTL2_095      >310.151704204  <0.000002
KTE5_096      & KTL2_095      >316.965414204  <0.000001
KTE6_096      & KTL2_095      >351.489315204  Highly sign.
KTE7_096      & KTL2_095      >352.568730204  Highly sign.
KTE8_096      & KTL2_095      >394.450734204  Highly sign.
KTE9_064      & KTL2_095      >334.878898204  Highly sign.
KTL1_095      & KTL2_095      171.770582204  0.951025
FBM1_095      & RBL1_095      317.869803200  Highly sign.
FBM2_095      & RBL1_095      312.426734200  0.000001
FBM3_095      & RBL1_095      346.476812198  Highly sign.
FBM4_095      & RBL1_095      >421.466479198  Highly sign.
FOM1_095      & RBL1_095      304.021422204  0.000007
FTM2_095      & RBL1_095      264.896956202  0.001962
FTM3_093      & RBL1_095      260.313416204  0.004692
FTM4_078      & RBL1_095      316.678459202  0.000000
FTM5_095      & RBL1_095      269.695345200  0.000744
FTM6_095      & RBL1_095      458.920402202  Highly sign.
KBL1_096      & RBL1_095      >508.340479204  Highly sign.
KBL2_097      & RBL1_095      >567.868350204  Highly sign.
KBL4_096      & RBL1_095      >563.800745202  Highly sign.
KBL5_096      & RBL1_095      >548.900274204  Highly sign.
KOL1_062      & RBL1_095      >639.057955204  Highly sign.
KTE1_096      & RBL1_095      >560.036746204  Highly sign.
KTE2_096      & RBL1_095      >510.122301204  Highly sign.
KTE4_066      & RBL1_095      >543.820528204  Highly sign.
KTE5_096      & RBL1_095      >560.296020204  Highly sign.
KTE6_096      & RBL1_095      >571.532178204  Highly sign.
KTE7_096      & RBL1_095      >583.708669204  Highly sign.
KTE8_096      & RBL1_095      >566.286834204  Highly sign.
KTE9_064      & RBL1_095      >468.576187204  Highly sign.
KTL1_095      & RBL1_095      >484.061044204  Highly sign.
KTL2_095      & RBL1_095      >494.165828204  Highly sign.
FBM1_095      & RBL2_095      >295.024696202  <0.000022
FBM2_095      & RBL2_095      >325.008161200  Highly sign.
FBM3_095      & RBL2_095      >369.824094200  Highly sign.
FBM4_095      & RBL2_095      >500.127218200  Highly sign.
FOM1_095      & RBL2_095      310.045060204  0.000002
FTM2_095      & RBL2_095      268.854301202  0.001153
FTM3_093      & RBL2_095      >313.025630204  <0.000001
FTM4_078      & RBL2_095      >282.277876202  <0.000165
FTM5_095      & RBL2_095      >294.657424202  <0.000023
FTM6_095      & RBL2_095      >441.564650204  Highly sign.
KBL1_096      & RBL2_095      >628.393791204  Highly sign.
KBL2_097      & RBL2_095      >552.345286204  Highly sign.
KBL4_096      & RBL2_095      >582.812317202  Highly sign.
KBL5_096      & RBL2_095      >592.379985204  Highly sign.
KOL1_062      & RBL2_095      >567.985000204  Highly sign.
KTE1_096      & RBL2_095      >667.575419204  Highly sign.
KTE2_096      & RBL2_095      >536.718023204  Highly sign.
KTE4_066      & RBL2_095      >525.027813204  Highly sign.
KTE5_096      & RBL2_095      >495.441874204  Highly sign.
KTE6_096      & RBL2_095      >521.211933204  Highly sign.
KTE7_096      & RBL2_095      >615.061311204  Highly sign.
KTE8_096      & RBL2_095      >564.255677204  Highly sign.
KTE9_064      & RBL2_095      >536.856415204  Highly sign.
KTL1_095      & RBL2_095      >503.509648204  Highly sign.
KTL2_095      & RBL2_095      >549.623625204  Highly sign.
